               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.033014,            0.011685,           0.0017488,             0.73403,             0.65596,             0.67839,             0.38861,            0.042324,            0.009018,           0.0022124,           0.0086882,           0.0086882,           0.0086882
                  55,            0.033278,            0.012916,           0.0014782,             0.83733,             0.68454,             0.70855,             0.42424,            0.042924,           0.0082768,           0.0014023,           0.0086635,           0.0086635,           0.0086635
                  56,            0.032988,            0.011781,           0.0027984,             0.79709,             0.63116,             0.69872,             0.43115,            0.041769,           0.0087172,           0.0023847,           0.0086388,           0.0086388,           0.0086388
                  57,            0.032716,            0.011635,            0.001713,             0.79943,             0.64493,             0.69538,             0.42532,            0.041246,           0.0086814,           0.0027294,            0.008614,            0.008614,            0.008614
                  58,            0.033128,            0.012526,            0.002449,             0.77585,             0.63953,             0.67833,             0.37816,            0.042578,           0.0083171,           0.0059559,           0.0085893,           0.0085893,           0.0085893
                  59,            0.032866,             0.01241,           0.0021957,             0.74551,             0.67581,             0.67643,             0.39499,            0.043822,            0.008456,           0.0066367,           0.0085645,           0.0085645,           0.0085645
                  60,            0.030954,            0.012053,           0.0021343,               0.789,             0.71235,             0.69677,              0.4015,            0.041314,           0.0082161,           0.0031865,           0.0085398,           0.0085398,           0.0085398
                  61,            0.031905,            0.012084,           0.0013302,             0.76028,             0.69994,              0.6972,             0.41495,            0.042162,           0.0077279,           0.0021891,            0.008515,            0.008515,            0.008515
                  62,            0.031779,            0.010474,           0.0014422,             0.80845,              0.7189,             0.73336,             0.45717,            0.044641,           0.0078595,           0.0021858,           0.0084903,           0.0084903,           0.0084903
                  63,            0.030544,              0.0112,           0.0017044,             0.81031,             0.67355,             0.71389,              0.4443,             0.04213,           0.0079628,           0.0019716,           0.0084655,           0.0084655,           0.0084655
                  64,            0.031082,            0.010852,           0.0019263,              0.8714,             0.63137,             0.71763,             0.41305,            0.042921,           0.0084046,           0.0039079,           0.0084408,           0.0084408,           0.0084408
                  65,            0.030899,            0.011785,            0.001391,             0.80132,             0.62356,             0.69825,              0.4004,             0.04414,           0.0086352,           0.0042855,            0.008416,            0.008416,            0.008416
                  66,            0.030475,            0.010145,           0.0013343,               0.807,              0.6113,              0.6208,             0.34654,            0.047514,            0.010004,           0.0093985,           0.0083913,           0.0083913,           0.0083913
                  67,            0.032005,            0.010926,           0.0015208,             0.76482,             0.69242,             0.69683,             0.40226,            0.043319,           0.0087917,           0.0027316,           0.0083665,           0.0083665,           0.0083665
                  68,            0.032358,            0.011552,           0.0016164,             0.76249,             0.70114,             0.70891,             0.42258,            0.041482,           0.0085987,           0.0016614,           0.0083418,           0.0083418,           0.0083418
                  69,            0.031876,            0.011892,           0.0013494,             0.75183,              0.6977,              0.7187,             0.42909,            0.042064,            0.008476,          0.00086553,            0.008317,            0.008317,            0.008317
                  70,            0.030034,            0.010905,           0.0012674,             0.74844,             0.68842,             0.71696,             0.42836,            0.042899,           0.0087308,           0.0013421,           0.0082922,           0.0082922,           0.0082922
                  71,            0.031672,            0.011288,           0.0024538,             0.75207,             0.66555,              0.7204,             0.44066,            0.042138,           0.0090383,           0.0010802,           0.0082675,           0.0082675,           0.0082675
                  72,            0.029811,            0.010816,           0.0011678,             0.79442,             0.56781,             0.63505,             0.36612,            0.045641,           0.0092728,           0.0025287,           0.0082428,           0.0082428,           0.0082428
                  73,            0.030853,            0.010993,           0.0022063,             0.82283,             0.65638,             0.71214,             0.42201,             0.04326,           0.0085105,           0.0023136,            0.008218,            0.008218,            0.008218
                  74,            0.028346,            0.010481,           0.0024379,             0.82675,              0.6748,             0.71409,             0.42406,            0.042809,           0.0086306,           0.0023742,           0.0081932,           0.0081932,           0.0081932
                  75,            0.030053,            0.010601,           0.0021953,             0.85406,              0.6698,             0.73473,             0.43365,            0.041487,           0.0088009,           0.0013997,           0.0081685,           0.0081685,           0.0081685
                  76,            0.030009,            0.010472,           0.0012738,              0.7632,             0.69022,              0.7074,             0.41287,            0.041584,           0.0092456,             0.00116,           0.0081437,           0.0081437,           0.0081437
                  77,            0.029589,            0.011077,           0.0015935,             0.73265,             0.65476,             0.69544,             0.40225,            0.043538,           0.0095255,            0.001845,            0.008119,            0.008119,            0.008119
                  78,            0.028432,            0.011022,           0.0012663,               0.761,             0.63234,             0.66282,             0.40143,            0.042425,           0.0098277,           0.0020366,           0.0080942,           0.0080942,           0.0080942
                  79,            0.028814,            0.010818,           0.0018768,             0.78509,             0.64603,             0.69224,             0.44662,            0.042024,            0.008559,           0.0023741,           0.0080695,           0.0080695,           0.0080695
                  80,            0.028829,            0.010515,           0.0013339,             0.75526,             0.65343,             0.70213,             0.42359,            0.041204,           0.0086823,           0.0020984,           0.0080447,           0.0080447,           0.0080447
                  81,            0.028201,            0.010068,           0.0015978,             0.81837,             0.63746,              0.6982,             0.43751,            0.041287,           0.0081774,           0.0025471,             0.00802,             0.00802,             0.00802
                  82,            0.029321,            0.010576,           0.0016791,             0.75412,             0.68938,             0.71654,             0.43053,            0.042198,           0.0081164,           0.0027515,           0.0079953,           0.0079953,           0.0079953
                  83,            0.028185,             0.01087,          0.00088688,             0.79243,             0.68941,             0.73498,             0.46168,            0.040179,            0.007776,           0.0020806,           0.0079705,           0.0079705,           0.0079705
                  84,            0.027577,            0.010241,          0.00092679,             0.74396,             0.66696,             0.71219,             0.44868,            0.039351,           0.0082785,            0.001474,           0.0079457,           0.0079457,           0.0079457
                  85,            0.030741,            0.010463,           0.0022927,             0.76617,             0.63412,              0.6913,             0.41896,            0.042714,           0.0089487,           0.0019413,            0.007921,            0.007921,            0.007921
                  86,            0.027939,            0.010527,           0.0014596,             0.76607,             0.61884,             0.68761,             0.43102,            0.038275,            0.008536,           0.0011184,           0.0078963,           0.0078963,           0.0078963
                  87,            0.028466,            0.010815,           0.0013625,             0.82272,             0.66747,             0.71176,             0.45012,            0.038129,           0.0084378,           0.0010574,           0.0078715,           0.0078715,           0.0078715
                  88,            0.029326,            0.010182,           0.0012078,             0.77362,              0.6609,             0.70089,             0.43355,            0.040427,           0.0083511,          0.00088273,           0.0078467,           0.0078467,           0.0078467
                  89,            0.028951,            0.010291,             0.00127,              0.7653,             0.66968,             0.70936,             0.44068,            0.039757,           0.0083123,           0.0010819,            0.007822,            0.007822,            0.007822
                  90,            0.028688,            0.010478,           0.0012217,             0.80847,             0.63676,             0.70396,             0.43063,             0.04141,           0.0093769,           0.0011126,           0.0077973,           0.0077973,           0.0077973
                  91,            0.027528,           0.0093579,           0.0014733,             0.78841,             0.62043,             0.69302,             0.42846,            0.039368,           0.0094094,          0.00073478,           0.0077725,           0.0077725,           0.0077725
                  92,            0.028603,           0.0097733,           0.0012491,             0.83373,             0.63862,             0.69182,             0.43095,            0.040208,           0.0092916,          0.00078439,           0.0077478,           0.0077478,           0.0077478
