ScreenName,Tweets,DateOfTweets,
NU_CAMD,#Art &amp; #Design Professor Gloria Sutton recently traveled to Berlin| Germany to speak at a symposium celebrating the… https://t.co/K4DvrWtpZv,2019-04-18 18:20:04
NU_CAMD,Last chance to see @NUGallery360's most recent display: "Figure Focus". The installment runs until this Sunday| Apr… https://t.co/7DnwnEWdjs,2019-04-18 15:51:24
NU_CAMD,RT @Northeastern: #Northeastern in bloom. #NUexperience https://t.co/LsmOiED5vz,2019-04-18 12:59:05
NU_CAMD,A new display| "#Art in Bloom"| is arriving at the @mfaboston this Friday! Don't miss this annual arrangement of fi… https://t.co/bvbnmPuR1f,2019-04-17 20:05:05
NU_CAMD,RT @EngageLab: Always exciting to see our projects impacting the real world! #RoomAtTheTop https://t.co/QEJTd3mPpl,2019-04-17 18:39:32
NU_CAMD,Nine Northeastern students were just announced winners of Fulbright Scholarships (@FulbrightPrgrm). CAMD is so exci… https://t.co/z2qaZYH0Qw,2019-04-17 18:15:04
NU_CAMD,This fall's new student orientation will incorporate multiplayer live card game that challenges assumptions &amp; biase… https://t.co/IsuaNpw4IQ,2019-04-17 14:12:59
NU_CAMD,Congratulations to CAMD Professor Tracy Heather Strain (@thstrain)| who just won a #Peabody Award for her work on "… https://t.co/BDAbqFD2t7,2019-04-16 20:27:50
NU_CAMD,Happening tomorrow: Robot Proof| a #concert hosted by students from Professor David Herlihy’s #Record Industry Clas… https://t.co/JsMKGWWVq6,2019-04-16 18:20:08
NU_CAMD,CAMD Alumna Ayukta Thakur changed the lives of thousands when she founded the Integreat Center for Young Adults wit… https://t.co/YDyGus67JH,2019-04-16 15:36:25
NU_CAMD,RT @alisonjhead: A must-read! John Wihbey’s incisive new book on how social media has transformed the news landscape is now available. http…,2019-04-16 14:33:46
NU_CAMD,CAMD Professor David Tames (@cinemakinoeye) and MIT's Cindy Sherman Bishop (@csbishopfilm) give a talk at… https://t.co/EviZWNEGqD,2019-04-13 18:30:07
NU_CAMD,CAMD #Music Industry alumna Jessica Gramuglia's freelancing work led her to the role of Music Supervisor at… https://t.co/Yd5CNmAqpV,2019-04-12 18:20:03
NU_CAMD,RT @Participant: Do you know an injustice that needs to be exposed? Applications for the Spotlight Investigative Journalism Fellowship are…,2019-04-12 17:21:19
NU_CAMD,RT @meg_heckman: Honored to be part of a @NU_CAMD panel speaking at @theNASEM today. I'll share how integrating digital humanities into my…,2019-04-12 16:15:49
NU_CAMD,The Boston #Theater Critics Association just released the nominees for the 37th annual @nortonawards. Nominated mul… https://t.co/u6JmISbi3A,2019-04-12 15:10:07
KhouryCollege,RT @reneewittemyer: Carla Brodley started the brilliant ALIGN program to broaden pathways into computing Masters degrees &amp; tech industry fo…,2019-04-19 23:19:48
KhouryCollege,With casless payments becoming more and more commonplace| consumers must be increasingly careful with their digital… https://t.co/FQwRQIKin1,2019-04-19 15:30:12
KhouryCollege,A revolution to reimagine the Masters in Computer Science. Join us| as we partner with @Facebook| @IllinoisCS|… https://t.co/lo1DjhGizS,2019-04-18 22:00:16
KhouryCollege,Facebook’s investment will provide scholarships for 200 students in Khoury College's Align MSCS program over 4 year… https://t.co/dXYKoGyQWD,2019-04-18 17:00:40
KhouryCollege,Northeastern University's Khoury College is excited to announce that Facebook will invest $4.2 million to expand th… https://t.co/RcJniGXVfC,2019-04-18 13:18:15
