timestamp,lift_A,volume_A,lift_B,volume_B,lift_C,volume_C,lift_D,volume_D
6/20/19 7:59,0.667416464,6274,0.71372009,33693,0.641013933,100,0.776524181,100
6/20/19 11:59,0.664468682,4770,0.710940976,3427,0.632825755,200,0.773008327,100
6/20/19 15:59,0.666315813,300,0.712329124,3295,0.640463607,2578,0.776189332,896
6/20/19 19:59,0.672480244,500,0.717579301,610,0.636831536,3055,0.777083514,1200
6/20/19 23:59,0.671764176,400,0.717486713,1825,0.636044932,2083,0.777396094,2083
6/21/19 3:59,0.667050202,100,0.713958876,8128,0.64090223,2656,0.777330796,100
6/21/19 7:59,0.665947684,415,0.713036167,135,0.640208114,2588,0.776644467,26577
6/21/19 11:59,0.664468682,1604,0.711295262,223,0.639468613,3065,0.775444042,101
6/21/19 15:59,0.66996326,101,0.717399571,2712,0.642287331,4510,0.779679615,512
6/21/19 19:59,0.6696013,100,0.715999364,2440,0.642177779,128,0.776874601,32284
6/21/19 23:59,0.668147343,278,0.715165913,2400,0.648450801,520,0.778605242,100
6/22/19 3:59,0.660349345,500,0.708312622,6825,0.637408944,680,0.771502345,1044
6/22/19 7:59,0.654604929,100,0.703558833,106,0.634608165,420,0.768232497,307
6/22/19 11:59,0.656536267,190,0.705503079,6410,0.642645262,222,0.771287847,505
6/22/19 15:59,0.660727027,110,0.709349772,1984,0.651454928,200,0.776166439,10376
6/22/19 19:59,0.662979781,100,0.710919904,5975,0.64686702,6962,0.775993561,220
6/22/19 23:59,0.662231507,253,0.710244204,3500,0.645564311,2107,0.774595801,5104
6/23/19 3:59,0.665947684,6571,0.713314555,1200,0.647350971,1380,0.776699413,333
6/23/19 7:59,0.67319392,1700,0.719328931,300,0.650974089,300,0.780865998,400
6/23/19 11:59,0.676025161,12300,0.722048384,1111,0.659318281,332,0.785034438,181
6/23/19 15:59,0.677775766,51284,0.723537294,100,0.660193583,837,0.786689062,100
6/23/19 19:59,0.671764176,6400,0.71762891,5707,0.650259217,151,0.779693896,400
6/23/19 23:59,0.666315813,2600,0.714008674,467,0.65482075,6350,0.779582516,438
6/24/19 3:59,0.671045499,2502,0.718684789,1234,0.671257021,280,0.787461609,1518
6/24/19 7:59,0.659971012,3748,0.709310108,2600,0.662291206,150,0.779836635,200
6/24/19 11:59,0.657687051,27103,0.706839182,350,0.650363511,9055,0.774568595,300
6/24/19 15:59,0.6498999,36346,0.700401488,8147,0.646469936,600,0.77073201,100
6/24/19 19:59,0.653827451,15321,0.703258571,2102,0.641362283,644,0.769756469,100
6/24/19 23:59,0.645094638,3105,0.695315098,5964,0.643210163,5000,0.766313674,401
6/25/19 3:59,0.645094638,100,0.695987479,401,0.636567305,700,0.764577958,10288
6/25/19 7:59,0.644283807,500,0.694992302,4413,0.629447604,400,0.762297852,210
6/25/19 11:59,0.637691115,1001,0.691537793,326,0.626151258,120,0.759259028,404
6/25/19 15:59,0.63516935,200,0.689121871,3555,0.628461804,942,0.758768537,100
6/25/19 19:59,0.63516935,1012,0.688604728,4412,0.628390375,10987,0.758392346,2000
6/25/19 23:59,0.621241981,102,0.67778473,200,0.62499812,1200,0.752691659,300
6/26/19 3:59,0.620343547,2300,0.677543121,433,0.625048903,43998,0.752060368,320
6/26/19 7:59,0.624801548,3141,0.681239453,4285,0.627206475,1011,0.754597528,400
6/26/19 11:59,0.630042623,1300,0.685581926,938,0.629684155,700,0.757558765,100
6/26/19 15:59,0.633898244,4300,0.688268758,3677,0.631611966,508,0.759425747,202
6/26/19 19:59,0.629177196,506,0.684873888,3609,0.629251441,2400,0.757068144,2657
6/26/19 23:59,0.634322718,100,0.689309643,600,0.635109916,1240,0.76122458,8903
6/27/19 3:59,0.632620168,700,0.687619091,129,0.637758641,700,0.762409717,350
6/27/19 7:59,0.630042623,400,0.685243831,345,0.632969869,641,0.758413527,118
6/27/19 11:59,0.619441995,600,0.676787214,1284,0.624455269,901,0.751489593,300
6/27/19 15:59,0.616716888,599,0.67360435,145,0.624592716,419,0.750413683,3486
6/27/19 19:59,0.593748791,4800,0.654525455,1842,0.613108668,520,0.736573002,550
6/27/19 23:59,0.596738559,64843,0.657006962,2647,0.614603552,280,0.738292119,200
6/28/19 3:59,0.586632975,9200,0.648700489,148,0.611265045,234,0.733102978,400
6/28/19 7:59,0.585599811,7433,0.647248458,160,0.609034178,610,0.731786749,3100
6/28/19 11:59,0.612105171,11739,0.669792009,2070,0.622286857,440,0.74814656,900
6/28/19 15:59,0.616716888,11301,0.673680404,973,0.626307002,380,0.750408229,2300
6/28/19 19:59,0.624801548,30408,0.679684215,303,0.62692076,300,0.753442765,2024
6/28/19 23:59,0.618537047,13800,0.674667536,2337,0.627217081,1828,0.75109782,200
6/29/19 3:59,0.615801374,33540,0.672727403,1026,0.622420673,400,0.748617666,1400
6/29/19 7:59,0.619441995,20115,0.676119156,365,0.631169555,463,0.753264319,3369
6/29/19 11:59,0.624801548,3196,0.68161558,161,0.633777903,2340,0.757398667,200
6/29/19 15:59,0.608352375,100,0.666566566,1950,0.618624745,200,0.744949326,200
6/29/19 19:59,0.604541123,50225,0.664791662,192,0.623790548,420,0.745416688,102
6/29/19 23:59,0.611172353,1356,0.669904364,635,0.619963306,475,0.746603598,2533
6/30/19 3:59,0.60067032,10800,0.660816991,530,0.607569432,3390,0.737952881,300
6/30/19 7:59,0.60164361,100,0.661126862,733,0.608056077,100,0.738796548,6100
6/30/19 11:59,0.608352375,3415,0.667190009,22446,0.611410459,200,0.742542549,11300
6/30/19 15:59,0.604541123,1204,0.66401949,1210,0.609504834,100,0.740171593,109
6/30/19 19:59,0.613960433,9277,0.671334451,999,0.614214488,405,0.745244695,1636
6/30/19 23:59,0.618083294,2013,0.675310774,591,0.616275919,163,0.749240392,3100
7/1/19 3:59,0.62656143,1000,0.681808653,2200,0.620514987,113,0.753124294,5900
7/1/19 7:59,0.621241981,22567,0.676430654,5376,0.609426691,240,0.746625136,255
7/1/19 11:59,0.61488265,5274,0.671246621,11852,0.607532739,269,0.744080974,200
7/1/19 15:59,0.613960433,15600,0.66985826,2106,0.605785917,1646,0.741454219,1420
7/1/19 19:59,0.614421979,100,0.670770051,8318,0.60601669,500,0.742703635,1000
7/1/19 23:59,0.617628685,700,0.673807598,909,0.614477186,263,0.747068775,2050
7/2/19 3:59,0.619441995,3556,0.674763405,15163,0.615383841,900,0.747113403,1554
7/2/19 7:59,0.609295976,600,0.665861403,7850,0.61188226,2107,0.740223581,20902
7/2/19 11:59,0.632620168,200,0.685209054,2542,0.62333007,206,0.753556421,252
7/2/19 15:59,0.644283807,600,0.695425772,1405,0.62916189,220,0.761177115,2001
7/2/19 19:59,0.63516935,809,0.687848475,20868,0.624604661,160,0.755379201,558
7/2/19 23:59,0.634322718,410,0.686647811,16930,0.624181345,500,0.755176412,2707
7/3/19 3:59,0.62656143,1000,0.679988663,24962,0.616514987,200,0.748691551,21600
7/3/19 7:59,0.636853653,500,0.688642847,18783,0.623946813,100,0.755440675,897
7/3/19 11:59,0.634322718,100,0.685315357,3907,0.617967059,1240,0.752838866,100
7/3/19 15:59,0.623028278,700,0.676220166,1366,0.608891268,4260,0.74415537,700
7/3/19 19:59,0.61488265,3800,0.668885009,405,0.603675597,200,0.738702586,749
7/3/19 23:59,0.610235962,18429,0.665671115,589,0.603780824,1688,0.737271216,100
7/4/19 3:59,0.607404865,110,0.663066066,200,0.597579561,2260,0.733888573,609
7/4/19 7:59,0.603578851,4900,0.66007817,435,0.60188084,111,0.733869187,300
7/4/19 11:59,0.595745997,101,0.65461492,705,0.60510727,400,0.732432343,202
7/4/19 15:59,0.604541123,1100,0.662097732,1068,0.612933405,6223,0.738746684,1720
7/4/19 19:59,0.623028278,200,0.677467712,1999,0.622176982,2883,0.750017824,5400
7/4/19 23:59,0.623028278,3600,0.677015194,300,0.623605553,700,0.749557607,2100
7/5/19 3:59,0.629177196,110,0.682621863,1920,0.626680012,4931,0.753436236,700
7/5/19 7:59,0.628308324,207,0.681946414,3501,0.62710272,200,0.75325092,31912
7/5/19 11:59,0.63516935,10616,0.687250306,359,0.622533232,300,0.754910702,163
7/5/19 15:59,0.629177196,5000,0.682254987,702,0.619608584,1823,0.750850379,13090
7/5/19 19:59,0.629177196,100,0.681884867,4457,0.61382287,520,0.747439898,4100
7/5/19 23:59,0.624801548,14408,0.679334838,1180,0.611706475,101,0.746932143,6100
7/6/19 3:59,0.631763969,600,0.685072632,201,0.615187685,701,0.749660484,200
7/6/19 7:59,0.62656143,3402,0.679772682,1632,0.612657844,375,0.747270266,1400
7/6/19 11:59,0.628308324,4006,0.682113154,177,0.611459863,366,0.74757418,623
7/6/19 15:59,0.634322718,2800,0.686644075,156,0.614967059,360,0.751506815,17804
7/6/19 19:59,0.636012909,5703,0.688054552,804,0.615955012,700,0.752531056,1300
7/6/19 23:59,0.629177196,700,0.681981863,301,0.614680012,300,0.749036236,508
7/7/19 3:59,0.628308324,2327,0.680841652,5650,0.606388434,111,0.745655681,1430
7/7/19 7:59,0.632620168,499,0.683945245,2628,0.609258641,1073,0.748046897,1214
7/7/19 11:59,0.636853653,201,0.687583799,1310,0.60408967,1900,0.748159723,100
7/7/19 15:59,0.645902589,1000,0.696111275,1094,0.607756995,6308,0.7543966,3302
7/7/19 19:59,0.645094638,3113,0.694191435,3449,0.60385302,284,0.751300669,302
7/7/19 23:59,0.646707675,1900,0.69607304,1335,0.604730966,100,0.753245382,434
7/8/19 3:59,0.641833642,5180,0.691529131,1115,0.60229395,405,0.750464608,100
7/8/19 7:59,0.643469846,6400,0.694135165,4581,0.607540623,1172,0.753357439,5300
7/8/19 11:59,0.647510142,510,0.697448328,1396,0.6081322,116,0.755804826,2228
7/8/19 15:59,0.643469846,100,0.694066458,306,0.606540623,15646,0.752356747,32549
7/8/19 19:59,0.647510142,100,0.6963533,149,0.597417914,765,0.751519254,25527
7/8/19 23:59,0.645094638,120,0.695208431,23818,0.602710163,560,0.752863673,1661
7/9/19 3:59,0.651479325,200,0.700020029,2008,0.605902506,3910,0.756825893,242
7/9/19 7:59,0.656920526,2561,0.704440852,1619,0.607123107,2535,0.758770559,1164
7/9/19 11:59,0.650690887,200,0.700994271,4052,0.607651144,1273,0.75756723,1080
7/9/19 15:59,0.653827451,202,0.702581219,7315,0.609219426,17173,0.758677754,780
7/9/19 19:59,0.659971012,200,0.707670108,6933,0.612291206,390,0.762203302,111
7/9/19 23:59,0.660727027,101,0.708359285,1030,0.6123835,200,0.764456326,19375
7/10/19 3:59,0.663725502,1592,0.710909997,7504,0.615525594,10297,0.766141804,377
7/10/19 7:59,0.668875547,300,0.715233766,100,0.618100617,9015,0.77033385,3930
7/10/19 11:59,0.662979781,200,0.709917643,11600,0.617295591,11228,0.766789755,288
7/10/19 15:59,0.659971012,26101,0.707813258,3000,0.613648349,1234,0.764470152,2536
7/10/19 19:59,0.659971012,500,0.707280438,3109,0.613648349,2539,0.763632972,600
7/10/19 23:59,0.655379479,300,0.703032322,5000,0.612781154,100,0.761166651,2400
7/11/19 3:59,0.65921239,880,0.706555543,406,0.611483324,101,0.762542003,842
7/11/19 7:59,0.65921239,1300,0.705855543,1821,0.607983324,100,0.76090867,4436
7/11/19 11:59,0.65921239,1821,0.706251733,7340,0.615411895,2603,0.763632479,9008
7/11/19 15:59,0.663725502,1300,0.711643121,1550,0.619454165,2382,0.76793928,4678
7/11/19 19:59,0.666315813,710,0.713581348,274,0.626106464,12520,0.771689842,16479
7/11/19 23:59,0.662979781,509,0.711823221,4301,0.624438448,2458,0.769824777,990
7/12/19 3:59,0.667416464,4700,0.71565335,548,0.62865679,700,0.774384255,1879
7/12/19 7:59,0.666683319,3506,0.714897157,1834,0.626290217,10605,0.771954311,5352
7/12/19 11:59,0.665947684,2356,0.714170599,100,0.633065257,904,0.774460035,1000
7/12/19 15:59,0.665209547,428,0.714062634,3992,0.632553331,809,0.774307585,300
7/12/19 19:59,0.663725502,500,0.713115565,5689,0.636668451,1150,0.775876236,1232
7/12/19 23:59,0.665209547,800,0.714051069,5801,0.63262476,684,0.77369975,190
7/13/19 3:59,0.665209547,1300,0.713798458,9078,0.637696188,670,0.775215094,4036
7/13/19 7:59,0.664468682,942,0.712725884,104,0.628754327,300,0.771633418,3156
7/13/19 11:59,0.665209547,1610,0.712926517,17891,0.630981903,940,0.772390368,101
7/13/19 15:59,0.665947684,700,0.71432658,3924,0.6459224,100,0.778164654,100
7/13/19 19:59,0.664468682,946,0.712555711,2310,0.64461147,600,0.776767525,2159
7/13/19 23:59,0.662231507,800,0.70995174,951,0.638350025,1568,0.774507665,1495
7/14/19 3:59,0.662979781,3365,0.71083757,2254,0.624438448,1145,0.770399829,100
7/14/19 7:59,0.675320929,1959,0.720567388,18165,0.630609022,1400,0.777145988,1275
7/14/19 11:59,0.671764176,200,0.718519836,232,0.635973503,630,0.778076903,2200
7/14/19 15:59,0.670324613,600,0.717299357,188,0.635253721,101,0.776608129,620
7/14/19 19:59,0.675320929,200,0.722385777,2488,0.637751879,488,0.778250933,20667
7/14/19 23:59,0.695479621,35430,0.738090824,302,0.647831225,119,0.789142181,100
7/15/19 3:59,0.686315748,28320,0.731537118,385,0.643249289,468,0.78521398,200
7/15/19 7:59,0.691928405,1200,0.736280459,1000,0.648127046,208,0.788559756,1510
7/15/19 11:59,0.704552529,1130,0.745731814,6301,0.654439108,606,0.795118627,2100
7/15/19 15:59,0.701159315,1012,0.742915447,976,0.652742501,106,0.793167529,350
7/15/19 19:59,0.703632766,2508,0.745404392,1105,0.652336369,900,0.794344382,163
7/15/19 23:59,0.707286036,4300,0.748568914,2214,0.656163004,104,0.797819371,300
7/16/19 3:59,0.703017328,3300,0.745045071,3509,0.654100079,821,0.796025081,14463
